MsgID.GLOBAL_POSITION,0.0000000,-122.3957598,37.7932777,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.4130000,-0.0028849,-0.0398460,-0.0826817
MsgID.LOCAL_VELOCITY,127.4130000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957608,37.7932777,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.6630000,-0.0029625,-0.1119096,-0.0842484
MsgID.LOCAL_VELOCITY,127.6630000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957601,37.7932776,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,127.9130000,-0.0147011,-0.0460237,-0.0894753
MsgID.LOCAL_VELOCITY,127.9130000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957595,37.7932777,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957600,37.7932766,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.1630000,-0.1240667,-0.0397839,-0.0972232
MsgID.LOCAL_VELOCITY,128.1630000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957600,37.7932760,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.4130000,-0.1711178,-0.0396804,-0.1078330
MsgID.LOCAL_VELOCITY,128.4130000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957600,37.7932776,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.6630000,-0.0115320,-0.0396494,-0.1158649
MsgID.LOCAL_VELOCITY,128.6630000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957596,37.7932780,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.9130000,0.0298730,0.0076928,-0.1197981
MsgID.LOCAL_VELOCITY,128.9130000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957595,37.7932777,0.0000000
